what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1331842476374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331842477705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842478100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842479401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1331842480025
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1331842480373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331842480639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842481060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842485765
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1331842489039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331842492538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842492888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842508978
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1331842510930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331842511163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842511728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842513240
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1331842514262
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1331842514898
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1331842515066
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1331842516822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331842517734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331842519111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842519484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842520508
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1331842521919
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331842522750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331842522915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331842523788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842524123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842525027
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331842526279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331842526428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331842528900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842529274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842530253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331842531087
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331842531254
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331842532076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842532476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842533516
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331842534241
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1331842534384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331842535301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331842535517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842535920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842536883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331842537898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331842539718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842540127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842541681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331842542278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331842542756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842543191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842544417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331842545016
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331842545399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842545768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842546993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331842547538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331842548041
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1331842548120
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331842548120
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1331842548148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842549665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842550653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842551164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842552518
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331842553481
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331842555674
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331842555776
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331842555818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842559133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842560315
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331842561418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842562071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842573870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842576682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842585514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842591962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842662105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842696996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842697522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842698659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842699727
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1331842702302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331842702563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331842775952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331842776975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331842784869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842785591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842786219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331842794002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842796895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842801753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842803079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842803748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842804796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842809598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331842820108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331842857872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842858342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331842859357
